,Model Name,Noise level,Accuracy,STD,Set,b
162,AdaBoostClassifier,0.3,0.6420000000000001,0.023494680248941482,Train,0.25
163,AdaBoostClassifier,0.3,0.7176,0.03272674747053241,Test,0.25
164,NeighborHoodClassifier,0.3,0.6748000000000001,0.0910612980359933,Train,0.5
165,NeighborHoodClassifier,0.3,0.6628000000000001,0.07407671698988828,Test,0.5
166,AdaBoostClassifier,0.3,0.6664,0.034091641204260024,Train,0.5
167,AdaBoostClassifier,0.3,0.7368,0.048934241590117666,Test,0.5
168,NeighborHoodClassifier,0.3,0.6056,0.013937001112147488,Train,1.0
169,NeighborHoodClassifier,0.3,0.6648,0.11314132755098821,Test,1.0
170,AdaBoostClassifier,0.3,0.638,0.025581243128511195,Train,1.0
171,AdaBoostClassifier,0.3,0.7372,0.046589269150739,Test,1.0
172,NeighborHoodClassifier,0.3,0.6144000000000001,0.01660843159362137,Train,1.5
173,NeighborHoodClassifier,0.3,0.7335999999999999,0.027925615481131323,Test,1.5
174,AdaBoostClassifier,0.3,0.6516,0.03841666305133751,Train,1.5
175,AdaBoostClassifier,0.3,0.7344,0.04958064138350771,Test,1.5
176,NeighborHoodClassifier,0.3,0.608,0.011523888232710357,Train,2.0
177,NeighborHoodClassifier,0.3,0.7127999999999999,0.01536749816983885,Test,2.0
178,AdaBoostClassifier,0.3,0.64,0.03237282811247732,Train,2.0
179,AdaBoostClassifier,0.3,0.7012,0.03812820478333591,Test,2.0
180,NeighborHoodClassifier,0.3,0.7415999999999999,0.17587904934926163,Train,2.5
181,NeighborHoodClassifier,0.3,0.6811999999999999,0.08545969810384306,Test,2.5
182,AdaBoostClassifier,0.3,0.6500000000000001,0.018846750383023612,Train,2.5
183,AdaBoostClassifier,0.3,0.7216,0.04563156802039572,Test,2.5
184,NeighborHoodClassifier,0.3,0.616,0.023562682360037047,Train,3.0
185,NeighborHoodClassifier,0.3,0.7444000000000001,0.03044733157437613,Test,3.0
186,AdaBoostClassifier,0.3,0.6432,0.021301643129110974,Train,3.0
187,AdaBoostClassifier,0.3,0.724,0.06593329962924652,Test,3.0
188,NeighborHoodClassifier,0.3,0.6931999999999999,0.15485012108487356,Train,4.0
189,NeighborHoodClassifier,0.3,0.726,0.021688706738761512,Test,4.0
190,AdaBoostClassifier,0.3,0.6384000000000001,0.01626775952613022,Train,4.0
191,AdaBoostClassifier,0.3,0.752,0.0420095227299716,Test,4.0
192,NeighborHoodClassifier,0.35,0.5820000000000001,0.027334959301231802,Train,0.25
193,NeighborHoodClassifier,0.35,0.674,0.10350652153366956,Test,0.25
194,AdaBoostClassifier,0.35,0.6319999999999999,0.01554348738218037,Train,0.25
195,AdaBoostClassifier,0.35,0.67,0.08180953489661216,Test,0.25
196,NeighborHoodClassifier,0.35,0.6056,0.026211447880649427,Train,0.5
197,NeighborHoodClassifier,0.35,0.6596,0.06531646040624065,Test,0.5
198,AdaBoostClassifier,0.35,0.6028,0.030714166112723977,Train,0.5
199,AdaBoostClassifier,0.35,0.6836,0.06439130376067874,Test,0.5
200,NeighborHoodClassifier,0.35,0.7948,0.16928366725706293,Train,1.0
201,NeighborHoodClassifier,0.35,0.6872,0.06719047551550741,Test,1.0
202,AdaBoostClassifier,0.35,0.6284,0.02064558064090232,Train,1.0
203,AdaBoostClassifier,0.35,0.7120000000000001,0.03853310265213533,Test,1.0
204,NeighborHoodClassifier,0.35,0.59,0.006066300355241246,Train,1.5
205,NeighborHoodClassifier,0.35,0.7135999999999999,0.03718924575734226,Test,1.5
206,AdaBoostClassifier,0.35,0.6096,0.018391302292116257,Train,1.5
207,AdaBoostClassifier,0.35,0.6764,0.04026710816535003,Test,1.5
208,NeighborHoodClassifier,0.35,0.7936,0.1764421718297528,Train,2.0
209,NeighborHoodClassifier,0.35,0.5940000000000001,0.07483314773547882,Test,2.0
210,AdaBoostClassifier,0.35,0.6279999999999999,0.04567712775558464,Train,2.0
211,AdaBoostClassifier,0.35,0.6496,0.04264082550795656,Test,2.0
212,NeighborHoodClassifier,0.35,0.8112,0.1735677389378568,Train,2.5
213,NeighborHoodClassifier,0.35,0.6476,0.08728252975252263,Test,2.5
214,AdaBoostClassifier,0.35,0.6123999999999999,0.020055921818754697,Train,2.5
215,AdaBoostClassifier,0.35,0.7032,0.06356854568102059,Test,2.5
216,NeighborHoodClassifier,0.35,0.6008,0.011906300852909784,Train,3.0
217,NeighborHoodClassifier,0.35,0.7448,0.020341091416145807,Test,3.0
218,AdaBoostClassifier,0.35,0.6304,0.02684473877690005,Train,3.0
219,AdaBoostClassifier,0.35,0.7304,0.04126790520489261,Test,3.0
220,NeighborHoodClassifier,0.35,0.8379999999999999,0.1989411973423303,Train,4.0
221,NeighborHoodClassifier,0.35,0.6392,0.1061892649941603,Test,4.0
222,AdaBoostClassifier,0.35,0.6092,0.02010373099700652,Train,4.0
223,AdaBoostClassifier,0.35,0.6696,0.11418160972766149,Test,4.0
224,NeighborHoodClassifier,0.4,0.5876,0.04777279560586758,Train,0.25
225,NeighborHoodClassifier,0.4,0.602,0.09762786487473746,Test,0.25
226,AdaBoostClassifier,0.4,0.5955999999999999,0.03589763223389532,Train,0.25
227,AdaBoostClassifier,0.4,0.6315999999999999,0.04517344352603641,Test,0.25
228,NeighborHoodClassifier,0.4,0.8508000000000001,0.14922519894441424,Train,0.5
229,NeighborHoodClassifier,0.4,0.6284000000000001,0.09286032522019294,Test,0.5
230,AdaBoostClassifier,0.4,0.6252,0.03842082768499402,Train,0.5
231,AdaBoostClassifier,0.4,0.6891999999999999,0.07130329585650304,Test,0.5
232,NeighborHoodClassifier,0.4,0.884,0.1781684596105607,Train,1.0
233,NeighborHoodClassifier,0.4,0.5528,0.09483965415373466,Test,1.0
234,AdaBoostClassifier,0.4,0.6123999999999999,0.023405982141324493,Train,1.0
235,AdaBoostClassifier,0.4,0.5791999999999999,0.0303736728105114,Test,1.0
236,NeighborHoodClassifier,0.4,0.9184000000000001,0.0456315680203957,Train,1.5
237,NeighborHoodClassifier,0.4,0.5076,0.022141364004956896,Test,1.5
238,AdaBoostClassifier,0.4,0.6092,0.03032094985319559,Train,1.5
239,AdaBoostClassifier,0.4,0.5676,0.07335829878071054,Test,1.5
240,NeighborHoodClassifier,0.4,0.7884,0.17630155983427942,Train,2.0
241,NeighborHoodClassifier,0.4,0.5843999999999999,0.060125202702361026,Test,2.0
242,AdaBoostClassifier,0.4,0.6140000000000001,0.03961817764612602,Train,2.0
243,AdaBoostClassifier,0.4,0.5976,0.07508288753104797,Test,2.0
244,NeighborHoodClassifier,0.4,0.7203999999999999,0.18214016580644699,Train,2.5
245,NeighborHoodClassifier,0.4,0.5512,0.06755856718433276,Test,2.5
246,AdaBoostClassifier,0.4,0.6204,0.022570777567465436,Train,2.5
247,AdaBoostClassifier,0.4,0.5700000000000001,0.08504116650187718,Test,2.5
248,NeighborHoodClassifier,0.4,0.6359999999999999,0.12867944668827266,Train,3.0
249,NeighborHoodClassifier,0.4,0.5879999999999999,0.12295039650200401,Test,3.0
250,AdaBoostClassifier,0.4,0.62,0.023630488780387107,Train,3.0
251,AdaBoostClassifier,0.4,0.6327999999999999,0.07831832480333067,Test,3.0
252,NeighborHoodClassifier,0.4,0.716,0.19235384061671346,Train,4.0
253,NeighborHoodClassifier,0.4,0.5568,0.09721399076264692,Test,4.0
254,AdaBoostClassifier,0.4,0.5868,0.022292599668948424,Train,4.0
255,AdaBoostClassifier,0.4,0.6112,0.08003599190364295,Test,4.0
256,NeighborHoodClassifier,0.45,0.5496000000000001,0.02337177785278644,Train,0.25
