,Model Name,Noise level,Accuracy,STD,Set,b
267,AdaBoostClassifier,0.45,0.7532,0.08296119574837382,Test,1.0
268,NeighborHoodClassifier,0.45,0.8648,0.11080505403635701,Train,1.5
269,NeighborHoodClassifier,0.45,0.6028,0.06316454701808602,Test,1.5
270,AdaBoostClassifier,0.45,0.5948,0.024547097588106005,Train,1.5
271,AdaBoostClassifier,0.45,0.7243999999999999,0.06244869894561453,Test,1.5
272,NeighborHoodClassifier,0.45,0.8604,0.07762886061253249,Train,2.0
273,NeighborHoodClassifier,0.45,0.554,0.028481572990268624,Test,2.0
274,AdaBoostClassifier,0.45,0.5888,0.011496086290559942,Train,2.0
275,AdaBoostClassifier,0.45,0.768,0.03391754708112015,Test,2.0
276,NeighborHoodClassifier,0.45,0.9603999999999999,0.07721554247688736,Train,2.5
277,NeighborHoodClassifier,0.45,0.5636,0.033091388607914274,Test,2.5
278,AdaBoostClassifier,0.45,0.5824,0.03831240008143578,Train,2.5
279,AdaBoostClassifier,0.45,0.7575999999999998,0.0773707955238926,Test,2.5
280,NeighborHoodClassifier,0.45,0.974,0.05002399424276314,Train,3.0
281,NeighborHoodClassifier,0.45,0.5628,0.036278919498794325,Test,3.0
282,AdaBoostClassifier,0.45,0.5856,0.03666933323637068,Train,3.0
283,AdaBoostClassifier,0.45,0.6239999999999999,0.14394999131642905,Test,3.0
284,NeighborHoodClassifier,0.45,0.9732,0.047692347394524416,Train,4.0
285,NeighborHoodClassifier,0.45,0.5628,0.033361055139188855,Test,4.0
286,AdaBoostClassifier,0.45,0.5820000000000001,0.022271057451320055,Train,4.0
287,AdaBoostClassifier,0.45,0.5952000000000001,0.13026496075307437,Test,4.0
288,NeighborHoodClassifier,0.46,0.554,0.01131370849898475,Train,0.25
289,NeighborHoodClassifier,0.46,0.7040000000000001,0.1080148137988489,Test,0.25
290,AdaBoostClassifier,0.46,0.5788,0.030002666548158672,Train,0.25
291,AdaBoostClassifier,0.46,0.7212,0.08168818764056403,Test,0.25
292,NeighborHoodClassifier,0.46,0.8371999999999999,0.15469505486601698,Train,0.5
293,NeighborHoodClassifier,0.46,0.6688,0.039101918111519786,Test,0.5
294,AdaBoostClassifier,0.46,0.5831999999999999,0.007110555533852476,Train,0.5
295,AdaBoostClassifier,0.46,0.6716,0.05906471027610311,Test,0.5
