,decision_tree,adaboost,samba,random_forest,random_scm,scm
metabolomics_bleuets-ID_11273,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
metabolomics_bleuets-ID_7536,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
metabolomics_bleuets-ID_11857,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
metabolomics_bleuets-ID_2043,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
metabolomics_bleuets-ID_14553,0.0,0.0,0.0,0.0,0.003224546786023232,0.0
metabolomics_bleuets-ID_15137,0.0,0.0,0.0,0.0031957992038317068,0.0,0.0
metabolomics_bleuets-ID_113,0.0,0.0,0.0,0.0,0.003195496814977978,0.0
metabolomics_bleuets-ID_4314,0.0,0.0,0.0,0.0,0.003195496814977978,0.0
metabolomics_bleuets-ID_16345,0.0,0.0,0.0,0.0,0.003195496814977978,0.0
metabolomics_bleuets-ID_2377,0.0,0.0,0.0,0.0,0.003195496814977978,0.0
metabolomics_bleuets-ID_4712,0.0,0.0,0.0,0.0,0.003195496814977978,0.0
metabolomics_bleuets-ID_1917,0.0,0.0,0.0,0.0031921421871353227,0.0,0.0
metabolomics_bleuets-ID_4117,0.0,0.0,0.0,0.0,0.003166965593415674,0.0
metabolomics_bleuets-ID_8216,0.0,0.0,0.0,0.0,0.003166965593415674,0.0
metabolomics_bleuets-ID_13789,0.0,0.0,0.0,0.0,0.003166965593415674,0.0
metabolomics_bleuets-ID_11212,0.0,0.0,0.0,0.003163964382800944,0.0,0.0
metabolomics_bleuets-ID_3124,0.0,0.0,0.0,0.0,0.0031389393492261553,0.0
metabolomics_bleuets-ID_4160,0.0,0.0,0.0,0.0,0.0031389393492261553,0.0
metabolomics_bleuets-ID_9332,0.0,0.0,0.0,0.0,0.0031389393492261553,0.0
metabolomics_bleuets-ID_9546,0.0,0.0,0.0,0.0031326139923424983,0.0,0.0
metabolomics_bleuets-ID_4315,0.0,0.0,0.0,0.0031211553433775656,0.0,0.0
metabolomics_bleuets-ID_8230,0.0,0.0,0.0,0.0,0.0031114047935311886,0.0
metabolomics_bleuets-ID_7615,0.0,0.0,0.0,0.0,0.0031114047935311886,0.0
metabolomics_bleuets-ID_2622,0.0,0.0,0.0,0.0,0.0031114047935311886,0.0
metabolomics_bleuets-ID_4063,0.0,0.0,0.0,0.0,0.003084349099674396,0.0
metabolomics_bleuets-ID_12492,0.0,0.0,0.0,0.0,0.003084349099674396,0.0
metabolomics_bleuets-ID_3566,0.0,0.0,0.0,0.0,0.003084349099674396,0.0
metabolomics_bleuets-ID_6169,0.0,0.0,0.0,0.0,0.003084349099674396,0.0
metabolomics_bleuets-ID_15728,0.0,0.0,0.0,0.0030769230769230756,0.0,0.0
metabolomics_bleuets-ID_16325,0.0,0.0,0.0,0.0030683997443000217,0.0,0.0
metabolomics_bleuets-ID_3870,0.0,0.0,0.0,0.0,0.0030577598832978925,0.0
metabolomics_bleuets-ID_3042,0.0,0.0,0.0,0.0,0.0030577598832978925,0.0
metabolomics_bleuets-ID_12344,0.0,0.0,0.0,0.0,0.003031625183440646,0.0
metabolomics_bleuets-ID_4341,0.0,0.0,0.0,0.0,0.003031625183440646,0.0
metabolomics_bleuets-ID_1485,0.0,0.0,0.0,0.003003061148126544,0.0,0.0
metabolomics_bleuets-ID_2275,0.0,0.0,0.0,0.002981121442659904,0.0,0.0
metabolomics_bleuets-ID_2110,0.0,0.0,0.0,0.0,0.0029806734996853405,0.0
metabolomics_bleuets-ID_2810,0.0,0.0,0.0,0.0029677353896103886,0.0,0.0
metabolomics_bleuets-ID_8974,0.0,0.0,0.0,0.002961744138214726,0.0,0.0
metabolomics_bleuets-ID_3448,0.0,0.0,0.0,0.002933507170795305,0.0,0.0
metabolomics_bleuets-ID_2014,0.0,0.0,0.0,0.0,0.002931406169112029,0.0
metabolomics_bleuets-ID_5136,0.0,0.0,0.0,0.0028719943158445832,0.0,0.0
metabolomics_bleuets-ID_9919,0.0,0.0,0.0,0.0028645634405316625,0.0,0.0
metabolomics_bleuets-ID_8127,0.0,0.0,0.0,0.0028350971666479697,0.0,0.0
metabolomics_bleuets-ID_1231,0.0,0.0,0.0,0.002825192049329979,0.0,0.0
metabolomics_bleuets-ID_1173,0.0,0.0,0.0,0.0028057692622635885,0.0,0.0
metabolomics_bleuets-ID_12929,0.0,0.0,0.0,0.002792313695669575,0.0,0.0
metabolomics_bleuets-ID_3718,0.0,0.0,0.0,0.0027710370748795813,0.0,0.0
metabolomics_bleuets-ID_4984,0.0,0.0,0.0,0.0027066529529583714,0.0,0.0
metabolomics_bleuets-ID_9206,0.0,0.0,0.0,0.0026928880454203173,0.0,0.0
metabolomics_bleuets-ID_5794,0.0,0.0,0.0,0.0026797425764837684,0.0,0.0
metabolomics_bleuets-ID_15401,0.0,0.0,0.0,0.0026080060452179175,0.0,0.0
metabolomics_bleuets-ID_3380,0.0,0.0,0.0,0.00258203335126412,0.0,0.0
metabolomics_bleuets-ID_10615,0.0,0.0,0.0,0.0025788387857353396,0.0,0.0
metabolomics_bleuets-ID_6943,0.0,0.0,0.0,0.002568422825668912,0.0,0.0
metabolomics_bleuets-ID_15257,0.0,0.0,0.0,0.002557787040545661,0.0,0.0
